,Ticker,Shares
1,RY.TO,1076.2131645135062
2,T.TO,797.1330577430375
3,TD.TO,1348.2752346379848
4,KO,212.44436410686512
5,PEP,317.5541120701097
6,CL,176.31015878424034
7,PG,82.76504882707171
8,BMY,250.08505025757935
9,MRK,456.00974073013793
10,PM,131.89390491108696
11,ABBV,89.75530392207173
12,LMT,27.527991435092535
13,MO,300.0602248661457
14,ABT,522.6050279229771
15,UNH,22.853691257600556
16,PFE,447.79366311612546
17,UNP,55.49105261080635
18,UPS,81.84489183327359
19,BK,262.7849204725336
20,ACN,37.249628235397566
21,TXN,81.01352879859127
22,BAC,498.5039206802519
