,Ticker,Shares
1,RY.TO,1140.5387251821132
2,T.TO,708.2601566192749
3,TD.TO,905.8343647745814
4,KO,667.9880258701771
5,PEP,83.22801512337254
6,CL,160.94841096044212
7,PG,82.19622923799528
8,BMY,250.05761892707378
9,MRK,842.3475494698934
10,PM,181.68504974771207
11,ABBV,89.73010214979018
12,LMT,27.527858604182523
13,MO,850.9820795923548
14,ABT,120.97656635271336
15,UNH,23.46983182003094
16,PFE,407.962806013
17,UNP,55.479236385760814
18,UPS,92.08182621413238
19,BK,262.80423156746275
20,ACN,41.82030926614716
21,TXN,81.01584728867687
22,BAC,814.6158923949936
