,Ticker,Shares
1,RY.TO,693.1653324305096
2,T.TO,1485.276698586994
3,TD.TO,1750.5575542984832
4,KO,213.57362669486787
5,PEP,79.15860566469782
6,CL,160.95217927663245
7,PG,82.19623546986872
8,BMY,250.9386928268385
9,MRK,550.7889232720768
10,PM,173.65884338176227
11,ABBV,564.2880165753
12,LMT,27.52875914656831
13,MO,333.4885688715939
14,ABT,122.0067162249945
15,UNH,23.264638280462037
16,PFE,407.96281910937694
17,UNP,55.50310782826706
18,UPS,81.84480486288697
19,BK,262.7849204725336
20,ACN,37.25223900080614
21,TXN,94.21536381773974
22,BAC,418.6074484776523
